status,updated,numRaters,averageRate,author,binding,pages,publisher,title,url,author_info,summary,price,isbn13,isbn10
reading,2018-08-24T19:12:27Z,1,0.0,William Manchester,Hardcover,793,"Little, Brown and Company",American Caesar,https://book.douban.com/subject/2282608/,,"MacArthur, the public figure, the private man, the soldier-hero whose mystery and appeal created a uniquely American legend, portrayed in a brilliant biography that will challenge the cherished myths of admirers and critics alike.",USD 50.00,9780091365103,0091365104
reading,2018-08-21T10:10:02Z,27,8.7,Svetlana Alexievich,Hardcover,496,Random House,Secondhand Time,https://book.douban.com/subject/26712851/,,,USD 30.00,9780399588808,0399588809
read,2018-08-21T10:06:03Z,767,8.7,Randall Munroe,Hardcover,320,Houghton Mifflin Harcourt,What If?,https://book.douban.com/subject/25847160/,"Randall Munroe is the author of the popular webcomic xkcd and the science question-and-answer blog What If. Randall was born in Easton, Pennsylvania and grew up outside Richmond, Virginia. After studying physics at Christopher Newport University, he got a job building robots at NASA Langley Research Center. In 2006, he left NASA to draw comics on the internet full-time, supporting himself through the sale of xkcd t-shirts, prints, posters, and books. He likes candlelight dinners and long walks on the beach. Very long walks. Lots of people say they like long walks on the beach, but then they get out on the beach and after just an hour or two, they say they're getting tired. Bring a tent. He lives in Massachusetts.","From the creator of the wildly popular webcomic xkcd, hilarious and informative answers to important questions you probably never thought to ask.
Millions of people visit xkcd.com each week to read Randall Munroe’s iconic webcomic. His stick-figure drawings about science, technology, language, and love have a large and passionate following.
Fans of xkcd ask Munroe a lot of strange questions. What if you tried to hit a baseball pitched at 90 percent the speed of light? How fast can you hit a speed bump while driving and live? If there was a robot apocalypse, how long would humanity last?
In pursuit of answers, Munroe runs computer simulations, pores over stacks of declassified military research memos, solves differential equations, and consults with nuclear reactor operators. His responses are masterpieces of clarity and hilarity, complemented by signature xkcd comics. They often predict the complete annihilation of humankind, or at least a really big explosion.
The book features new and never-before-answered questions, along with updated and expanded versions of the most popular answers from the xkcd website. What If? will be required reading for xkcd fans and anyone who loves to ponder the hypothetical.",USD 24.00,9780544272996,0544272994
read,2018-08-20T09:26:56Z,1,0.0,Annie Proulx,Hardcover,352,Scribner,Shipping News,https://book.douban.com/subject/2150160/,,"Winner of the Pulitzer Prize and the National Book Award, ""The Shipping News"" is a celebration of Annie Proulx's genius for storytelling and her vigorous contribution to the art of the novel.Quoyle, a third-rate newspaper hack, with a ""head shaped like a crenshaw, no neck, reddish hair...features as bunched as kissed fingertips,"" is wrenched violently out of his workaday life when his two-timing wife meets her just deserts. An aunt convinces Quoyle and his two emotionally disturbed daughters to return with her to the starkly beautiful coastal landscape of their ancestral home in Newfoundland. Here, on desolate Quoyle's Point, in a house empty except for a few mementos of the family's unsavory past, the battered members of three generations try to cobble up new lives.Newfoundland is a country of coast and cove where the mercury rarely rises above 70 degrees, the local culinary delicacy is cod cheeks, and it's easier to travel by boat and snowmobile than on anything with wheels. In this harsh place of cruel storms, a collapsing fishery, and chronic unemployment, the aunt sets up as a yacht upholsterer in nearby Killick-Claw, and Quoyle finds a job reporting the shipping news for the local weekly, the ""Gammy Bird"" (a paper that specializes in sexual-abuse stories and grisly photos of car accidents).As the long winter closes its jaws of ice, each of the Quoyles confronts private demons, reels from catastrophe to minor triumph -- in the company of the obsequious Mavis Bangs; Diddy Shovel the strongman; drowned Herald Prowse; cane-twirling Beety; Nutbeem, who steals foreign news from the radio; a demented cousin the aunt refuses to recognize; the much-zippered Alvin Yark; silent Wavey; and old Billy Pretty, with his bag of secrets. By the time of the spring storms Quoyle has learned how to gut cod, to escape from a pickle jar, and to tie a true lover's knot.",USD 27.50,9780684857916,068485791X
wish,2018-08-16T23:28:28Z,0,0.0,John Muir,Hardcover,196,Gibbs Smith,My First Summer in the Sierra,https://book.douban.com/subject/30302151/,,,USD 16.99,9781423649120,1423649125
reading,2018-08-16T23:24:32Z,0,0.0,"Cicero, Marcus Tullius; McElduff, Siobhan;",,336,,In Defence of the Republic,https://book.douban.com/subject/6859347/,,"Cicero's greatest speeches.     Cicero was the most brilliant orator in Classical history, with the ability to sway the opinions of the mob and the most powerful men in Rome. This new selection of speeches illustrates Cicero's fierce loyalty to the Roman Republic, giving an overview of his oratory-from early victories in the law courts to the height of his political career in the Senate. It features the Philippics-considered Cicero's finest achievement-a directive against his rival, Mark Antony, that eventually led to Cicero's death.",127.00元,9780140455533,0140455531
reading,2018-08-11T11:06:02Z,6,0.0,Natsume Soseki,Paperback,288,Penguin Classics,Sanshiro,https://book.douban.com/subject/4115553/,,"One of Soseki's most beloved works of fiction, the novel depicts the 23-year-old Sanshiro leaving the sleepy countryside for the first time in his life to experience the constantly moving 'real world' of Tokyo, its women and university. In the subtle tension between our appreciation of Soseki's lively humour and our awareness of Sanshiro's doomed innocence, the novel comes to life. ""Sanshiro"" is also penetrating social and cultural commentary.",USD 17.00,9780140455625,0140455620
reading,2018-08-11T01:29:50Z,5,0.0,Julia Silge; David Robinson,Paperback,194,O'Reilly Media,Text Mining with R,https://book.douban.com/subject/27034824/,,,USD 39.99,9781491981658,1491981652
read,2018-08-09T09:08:34Z,5,0.0,"Soseki, Natsume",,160,,Botchan,https://book.douban.com/subject/10812684/,,"Botchan is a modern young man from the Tokyo metropolis, sent to the ultra-traditional Matsuyama district as a Maths teacher after his the death of his parents. Cynical, rebellious and immature, Botchan finds himself facing several tests, from the pupils - prone to playing tricks on their new, naive teacher; the staff - vain, immoral, and in danger of becoming a bad influence on Botchan; and from his own as-yet-unformed nature, as he finds his place in the world. One of the most popular novels in Japan where it is considered a classic of adolescence, as seminal as ""The Catcher in the Rye"", ""Botchan"" is as funny, poignant and memorable as it was when first published, over 100 years ago. In J. Cohn's introduction to his colourful translation, he discusses ""Botchan's"" success, the book's clash between Western intellectualism and traditional Japanese values, and the importance of names and nicknames in the novel.",$ 16.95,9780141391885,014139188X
read,2018-07-27T11:16:05Z,51,9.0,Andrea Wulf,Hardcover,496,Knopf,The Invention of Nature,https://book.douban.com/subject/26596019/,"ANDREA WULF was born in India and moved to Germany as a child. She lives in London, where she trained as a design historian at the Royal College of Art. She is the author of Chasing Venus, Founding Gardeners, and The Brother Gardeners, which was long-listed for the Samuel Johnson Prize and awarded the American Horticultural Society Book Award. She has written for The New York Times, the Financial Times, The Wall Street Journal, and the Los Angeles Times. She appears regularly on radio and TV, and in 2014 copresented British Gardens in Time, a four-part series on BBC television.
www.andreawulf.com","The acclaimed author of Founding Gardeners reveals the forgotten life of Alexander von Humboldt, the visionary German naturalist whose ideas changed the way we see the natural world—and in the process created modern environmentalism.
Alexander von Humboldt (1769–1859) was an intrepid explorer and the most famous scientist of his age. In North America, his name still graces four counties, thirteen towns, a river, parks, bays, lakes, and mountains. His restless life was packed with adventure and discovery, whether he was climbing the highest volcanoes in the world or racing through anthrax-infected Siberia or translating his research into bestselling publications that changed science and thinking. Among Humboldt’s most revolutionary ideas was a radical vision of nature, that it is a complex and interconnected global force that does not exist for the use of humankind alone.
Now Andrea Wulf brings the man and his achievements back into focus: his daring expeditions and investigation of wild environments around the world and his discoveries of similarities between climate and vegetation zones on different continents. She also discusses his prediction of human-induced climate change, his remarkable ability to fashion poetic narrative out of scientific observation, and his relationships with iconic figures such as Simón Bolívar and Thomas Jefferson. Wulf examines how Humboldt’s writings inspired other naturalists and poets such as Darwin, Wordsworth, and Goethe, and she makes the compelling case that it was Humboldt’s influence that led John Muir to his ideas of natural preservation and that shaped Thoreau’s Walden.
With this brilliantly researched and compellingly written book, Andrea Wulf shows the myriad fundamental ways in which Humboldt created our understanding of the natural world, and she champions a renewed interest in this vital and lost player in environmental history and science.",USD 30.00,9780385350662,038535066X
wish,2018-07-20T08:49:40Z,0,0.0,Steven Ujifusa,Hardcover,448,Simon & Schuster,Barons of the Sea,https://book.douban.com/subject/27196558/,"Steven Ujifusa received his AB in history from Harvard University and a master’s degree in historic preservation from the University of Pennsylvania. His first book, A Man and His Ship, tells the story of William Francis Gibbs, the naval architect who created the ocean liner SS United States; The Wall Street Journal named it one of the best nonfiction titles of 2012. His new book, Barons of the Sea, brings to life the dynasties that built and owned the magnificent clipper ships of America’s nineteenth-century-era of maritime glory. Steven has given presentations across the country and on the high seas, and has appeared as guest on CBS Sunday Morning and NPR. A recipient of a MacDowell Colony fellowship and the Athenaeum of Philadelphia’s Literary Award, he lives with his wife, a pediatric emergency room physician, in Philadelphia. Read more about him at StevenUjifusa.com.","In the grand tradition of David McCullough and Ron Chernow, the sweeping story of the nineteenth-century American dynasties who battled for dominance of the tea and opium trades.
There was a time, back when the United States was young and the robber barons were just starting to come into their own, when fortunes were made and lost importing luxury goods from China. It was a secretive, glamorous, often brutal business—one where teas and silks and porcelain were purchased with profits from the opium trade. But the journey by sea to New York from Canton could take six agonizing months, and so the most pressing technological challenge of the day became ensuring one’s goods arrived first to market, so they might fetch the highest price.
Barons of the Sea tells the story of a handful of cutthroat competitors who raced to build the fastest, finest, most profitable clipper ships to carry their precious cargo to American shores. They were visionary, eccentric shipbuilders, debonair captains, and socially-ambitious merchants with names like Forbes and Delano—men whose business interests took them from the cloistered confines of China’s expatriate communities to the sin city decadence of Gold Rush-era San Francisco, and from the teeming hubbub of East Boston’s shipyards and to the lavish sitting rooms of New York’s Hudson Valley estates.
Elegantly written and meticulously researched, Barons of the Sea is a riveting tale of innovation and ingenuity that draws back the curtain on the making of some of the nation’s greatest fortunes, and the rise and fall of an all-American industry as sordid as it was genteel.",USD 29.99,9781476745978,1476745978
reading,2018-06-30T04:11:46Z,508,8.6,Henry Kissinger,Hardcover,608,Penguin Press,On China,https://book.douban.com/subject/5967865/,"Henry Kissinger served as national security advisor and then secretary of state under Richard Nixon and Gerald Ford, and has advised many other American presidents on foreign policy. He received the 1973 Nobel Peace Prize, the Presidential Medal of Freedom, and the Medal of Liberty, among other awards. He is the author of numerous books and articles on foreign policy and diplomacy and is currently the chairman of Kissinger Associates, Inc., an international consulting firm.","In this sweeping and insightful history, Henry Kissinger turns for the first time at book-length to a country he has known intimately for decades, and whose modern relations with the West he helped shape. Drawing on historical records as well as his conversations with Chinese leaders over the past forty years, Kissinger examines how China has approached diplomacy, strategy, and negotiation throughout its history, and reflects on the consequences for the global balance of power in the 21st century.
Since no other country can claim a more powerful link to its ancient past and classical principles, any attempt to understand China's future world role must begin with an appreciation of its long history. For centuries, China rarely encountered other societies of comparable size and sophistication; it was the ""Middle Kingdom,"" treating the peoples on its periphery as vassal states. At the same time, Chinese statesmen-facing threats of invasion from without, and the contests of competing factions within-developed a canon of strategic thought that prized the virtues of subtlety, patience, and indirection over feats of martial prowess.
In On China, Kissinger examines key episodes in Chinese foreign policy from the classical era to the present day, with a particular emphasis on the decades since the rise of Mao Zedong. He illuminates the inner workings of Chinese diplomacy during such pivotal events as the initial encounters between China and modern European powers, the formation and breakdown of the Sino-Soviet alliance, the Korean War, Richard Nixon's historic trip to Beijing, and three crises in the Taiwan Straits. Drawing on his extensive personal experience with four generation of Chinese leaders, he brings to life towering figures such as Mao, Zhou Enlai, and Deng Xiaoping, revealing how their different visions have shaped China's modern destiny.
With his singular vantage on U.S.-China relations, Kissinger traces the evolution of this fraught but crucial relationship over the past 60 years, following its dramatic course from estrangement to strategic partnership to economic interdependence, and toward an uncertain future. With a final chapter on the emerging superpower's 21st-century world role, On China provides an intimate historical perspective on Chinese foreign affairs from one of the premier statesmen of the 20th century.",USD 36.00,9781594202711,1594202710
read,2018-06-29T20:26:39Z,17,9.2,"Oz, Amos",paperback,528,Vintage Books,A Tale Of Love And Darkness,https://book.douban.com/subject/3132220/,"The author takes us on a seductive journey through his childhood and adolescence in Israel, along Jerusalem's war-torn streets in the 1940s and 50s, into his Russian immigrant parents' infernal marriage. Caught in the middle is one small boy with the weight of generations on his shoulders. And at the tragic heart of the story is the suicide of his mother, when Amos was twelve.","Love and darkness are just two of the powerful forces that run through Amos Oz's extraordinary, moving story. He takes us on a seductive journey through his childhood and adolescence, along Jerusalem's war-torn streets in the 1940s and '50s, and into the infernal marriage of two kind, well-meaning people: his fussy, logical father, and his dreamy, romantic mother. Caught between them is one small boy with the weight of generations on his shoulders. And at the tragic heart of the story is the suicide of his mother, when Amos was twelve-and-a-half years old.    Oz's story dives into 120 year of family history and paradox, the saga of a Jewish love-hate affair with Europe that sweeps from Vilna and Odessa, via Poland and Prague, to Israel. Farce and heartbreak, history and humanity make up this magical portrait of the artist who saw the birth of a nation, and came through its turbulent life as well as his own. This is a memoir like no other, and one that cries out to be read and wept over.  (20041021)",118.00元,9780099450030,0099450038
wish,2018-06-28T23:01:02Z,5,0.0,Gilbert Highet,Paperback,808,Oxford University Press,The Classical Tradition,https://book.douban.com/subject/26323675/,"Gilbert Highet(1906-1978) was Professor of Greek and Latin and Anthon Professor of Latin Language and Literature, Columbia University (1938-43, 1946-71), as well as the author of eight books.
Harold Bloom is Sterling Professor of Humanities, Yale University, and author of numerous volumes of literary criticism.","Originally published in 1949, Gilbert Highet's seminal The Classical Tradition is a herculean feat of comparative literature and a landmark publication in the history of classical reception. As Highet states in the opening lines of his Preface, this book outlines <""the chief ways in which Greek and Latin influence has moulded the literatures of western Europe and America.>"" With that simple statement, Highet takes his reader on a sweeping exploration of the history of western literature. To summarize what he covers is a near-impossible task. Discussions of Ovid and French literature of the Middle Ages and Chaucer's engagement with Virgil and Cicero lead, swiftly, into arguments of Christian versus <""pagan>"" works in the Renaissance, Baroque imitations of Seneca, and the (re)birth of satire. Building momentum through Byron, Tennyson, and the rise of <""art of art's sake,>"" Highet, at last, arrives at his conclusion: the birth and establishment of modernism. Though his humanist style may appear out-of-date in today's postmodernist world, there is a value to ensuring this influential work reaches a new generation, and Highet's light touch and persuasive, engaging voice guarantee the book's usefulness for a contemporary audience. Indeed, the book is free of the jargon-filled style of literary criticism that plagues much of current scholarship. Accompanied by a new foreword by renown critic Harold Bloom, this reissue will enable new readers to appreciate the enormous legacy of classical literature in the canonical works of medieval, Renaissance, and modern Europe and America.",USD 29.95,9780199377695,0199377693
read,2018-06-27T19:46:46Z,12,7.9,David Sedaris,Paperback,272,"Little, Brown",Calypso,https://book.douban.com/subject/30223759/,,"If you've ever laughed your way through David Sedaris's cheerfully misanthropic stories, you might think you know what you're getting with Calypso. You'd be wrong. When he buys a beach house on the Carolina coast, Sedaris envisions long, relaxing vacations spent playing board games and lounging in the sun with those he loves most. And life at the Sea Section, as he names the vacation home, is exactly as idyllic as he imagined, except for one tiny, vexing realization: it's impossible to take a vacation from yourself. With Calypso, Sedaris sets his formidable powers of observation toward middle age and mortality. Make no mistake: these stories are very, very funny - it's a book that can make you laugh 'til you snort, the way only family can. Sedaris's writing has never been sharper, and his ability to shock readers into laughter unparalleled. But much of the comedy here is born out of that vertiginous moment when your own body betrays you and you realize that the story of your life is made up of more past than future. This is beach reading for people who detest beaches, required reading for those who loathe small talk and love a good tumour joke. Calypso is simultaneously Sedaris's darkest and warmest book yet - and it just might be his very best.",,9781408707821,1408707829
read,2018-06-25T20:24:57Z,157,9.0,Siddhartha Mukherjee,Hardcover,608,Scribner,The Gene,https://book.douban.com/subject/26754245/,"Siddhartha Mukherjee is the author of The Emperor of All Maladies: A Biography of Cancer, winner of the 2011 Pulitzer Prize in general nonfiction, and The Laws of Medicine. He is the editor of Best Science Writing 2013Mukherjee is an assistant professor of medicine at Columbia University and a cancer physician and researcher. A Rhodes scholar, he graduated from Stanford University, University of Oxford, and Harvard Medical School. He has published articles in Nature, The New England Journal of Medicine, The New York Times, and Cell. He lives in New York with his wife and daughters.","From the Pulitzer Prize-winning, bestselling author of The Emperor of All Maladies—a magnificent history of the gene and a response to the defining question of the future: What becomes of being human when we learn to “read” and “write” our own genetic information?
The extraordinary Siddhartha Mukherjee has a written a biography of the gene as deft, brilliant, and illuminating as his extraordinarily successful biography of cancer. Weaving science, social history, and personal narrative to tell us the story of one of the most important conceptual breakthroughs of modern times, Mukherjee animates the quest to understand human heredity and its surprising influence on our lives, personalities, identities, fates, and choices.
Throughout the narrative, the story of Mukherjee’s own family—with its tragic and bewildering history of mental illness—cuts like a bright, red line, reminding us of the many questions that hang over our ability to translate the science of genetics from the laboratory to the real world. In superb prose and with an instinct for the dramatic scene, he describes the centuries of research and experimentation—from Aristotle and Pythagoras to Mendel and Darwin, from Boveri and Morgan to Crick, Watson and Franklin, all the way through the revolutionary twenty-first century innovators who mapped the human genome.
As The New Yorker said of The Emperor of All Maladies, “It’s hard to think of many books for a general audience that have rendered any area of modern science and technology with such intelligence, accessibility, and compassion…An extraordinary achievement.” Riveting, revelatory, and magisterial history of a scientific idea coming to life, and an essential preparation for the moral complexity introduced by our ability to create or “write” the human genome, The Gene is a must-read for everyone concerned about the definition and future of humanity. This is the most crucial science of our time, intimately explained by a master.",USD 32.00,9781476733500,1476733503
reading,2018-06-08T08:55:12Z,116,9.0,陀思妥耶夫斯基; 耿济之,平装,787,人民文学出版社,白痴,https://book.douban.com/subject/3274502/,,共两册。,2.40,,SH10019-724
reading,2018-06-02T21:14:23Z,1,0.0,韩少功; 阿来,平装,377,百花文艺出版社,第十七届百花文学奖散文奖获奖作品集,https://book.douban.com/subject/30238517/,,"百花文学奖创立至今，已在国内文坛引起广泛关注，成为颇具知名度的文学品牌。散文散文海外版编辑部编的《第十七届百花文学奖散文奖获奖作品集》作为该奖项散文类获奖篇目及提名奖作品集，在出版之前的评奖过程中，因其较高的大众参与度，广为业界所注重。而植根于《散文》和《散文海外版》两本在国内具有较高认知度的文学期刊之上，亦为本书的出版打下了良好的读者基础。
本书所收录的文章，堪称2015、2016双年度《散文》和《散文海外版》两本杂志所刊发作品中最具人气和精华之作，作者中既有李存葆、阿来、韩少功等文坛名家，亦不乏阿微木依萝、安宁、贾柯等后起之秀。这些作品均为近作，更贴近生活和时代脉搏，既有鲜明的时代色彩，亦不乏较高的文学性和思想性。",,9787530673614,7530673610
reading,2018-05-27T23:57:17Z,1,0.0,徐柏容; 郑法清,精装(无盘),234,百花文艺出版社,苏辙散文选集,https://book.douban.com/subject/1337903/,,,14.50,9787530635049,7530635042
